SECURITY_ID,UNDERLYING_SYMBOL
100,ARE&M
10074,EMAMIPAP
1008,FACT
10099,GODREJCP
1011,SCHAEFFLER
10159,ORICONENT
10176,SETFNIF50
10181,BALKRISHNA
10188,SHYAMCENT
10217,ADANIENSOL
10227,MANORAMA
1023,FEDERALBNK
10238,CONFIPET
10243,SYNGENE
10276,KAYA
10277,NGLFINE
10285,AYMSYNTEX
10297,PPL
1030,AARON
10300,RAMASTEEL
10310,AURUM
10321,PKTEA
10343,RADHIKAJWE
10346,DGCONTENT
10350,CSLFINANCE
1038,FINCABLES
10397,JISLJALEQS
104,SHAREINDIA
10406,STEELCITY
1041,FINPIPE
10415,MUTHOOTCAP
10417,DYCL
1044,AXISBNKETF
10440,LUPIN
10447,UNITDSPR
10453,SATIN
10457,ARVSMART
10473,POWERMECH
10485,RAMRAT
10508,MOHEALTH
10511,NIFTYBETA
10512,CONS
10515,SENSEXBETA
1053,UFLEX
10530,SHARDAMOTR
10557,NAVKARCORP
10568,RAMAPHO
10576,NIFTYBEES
10577,KRBL
10578,MPSLTD
10579,MARKSANS
10580,TCI
10585,MOM30IETF
10588,SHREEPUSHK
10599,GUJGASLTD
10604,BHARTIARTL
10618,SADBHIN
10619,HDFCNEXT50
10633,HDFCNIF100
10634,ASAL
10637,OLECTRA
10661,PONNIERODE
10666,PNB
10676,MNC
10690,NIFTYQLITY
10693,MOMENTUM
10700,SURANAT&P
10717,TEAMGTY
10723,INFRAIETF
10726,INDIAMART
1073,FOSECOIND
10733,SPORTKING
10738,OFSS
10753,UNIONBANK
10755,APTECHT
1076,ZENSARTECH
10761,SILVERADD
10768,OAL
10786,NOIDATOLL
10791,NUCLEUS
10793,SYRMA
10794,CANBK
10822,MOQUALITY
10825,MOVALUE
1085,GABRIEL
10859,DREAMFOLKS
10865,GVPTECH
10871,GRMOVER
10876,HDFCSILVER
10905,GENESYS
10925,GODREJIND
10932,RADAAN
10939,JUNIORBEES
10940,DIVISLAB
10945,TMB
10948,STCINDIA
10990,RADICO
10993,INDORAMA
10999,MARUTI
1100,GARFIBRES
11006,LIQUIDBEES
11027,INFOBEAN
11037,BANKIETF
11039,DCMNVL
11045,SATIA
11050,SIRCA
11060,KSOLVES
11065,NATHBIOGEN
11072,AGRITECH
11082,LIBAS
1110,DANGEE
11155,CNL
11162,HARSHA
11165,COFFEEDAY
11184,IDFCFIRSTB
11193,AXISILVER
11195,INDIGO
11212,SHK
11220,VARDHACRLC
11223,UCOBANK
11226,BAGFILMS
11233,SUVEN
11236,JSL
11239,NSIL
11241,HDFCGROWTH
11253,WELSPUNLIV
